DateTime,B-Voltage,B-Current,B-Temperature,V-Change,I-Change,T-Change,B-Resistance,V-Gradient,VDRt,Year,UPS_Operation_Mode,CumulativeTime,ChargeorDischargeCapacity,DischargeCapacity,ModeChange,dQ/dV
4/13/2016 11:47,216,0,93,0,0,0,0,0,0,2016,Online,6990.25,0,0,0,0
4/13/2016 11:52,216,0,91,0,0,0,0,0,0,2016,Online,6995.25,0,0,0,0
4/13/2016 11:57,216,0,91,0,0,0,0,0,0,2016,Online,7000.266667,0,0,0,0
4/13/2016 12:02,216,0,93,0,0,0,0,0,0,2016,Online,7005.266667,0,0,0,0
4/13/2016 12:07,216,0,91,0,0,0,0,0,0,2016,Online,7010.283333,0,0,0,0
4/13/2016 12:12,216,0,91,0,0,0,0,0,0,2016,Online,7015.283333,0,0,0,0
4/13/2016 12:17,216,0,91,0,0,0,0,0,0,2016,Online,7020.3,0,0,0,0
4/13/2016 12:22,216,0,93,0,0,0,0,0,0,2016,Online,7025.316667,0,0,0,0
4/13/2016 12:27,216,0,91,0,0,0,0,0,0,2016,Online,7030.3,0,0,0,0
4/13/2016 12:32,216,0,91,0,0,0,0,0,0,2016,Online,7035.283333,0,0,0,0
4/13/2016 12:37,216,0,93,0,0,0,0,0,0,2016,Online,7040.283333,0,0,0,0
4/13/2016 12:42,216,0,91,0,0,0,0,0,0,2016,Online,7045.283333,0,0,0,0
4/13/2016 12:47,216,0,93,0,0,0,0,0,0,2016,Online,7050.283333,0,0,0,0
4/13/2016 12:52,216,0,91,0,0,0,0,0,0,2016,Online,7055.3,0,0,0,0
4/13/2016 12:57,216,0,91,0,0,0,0,0,0,2016,Online,7060.283333,0,0,0,0
4/13/2016 13:02,216,0,93,0,0,0,0,0,0,2016,Online,7065.283333,0,0,0,0
4/13/2016 13:07,216,0,93,0,0,0,0,0,0,2016,Online,7070.266667,0,0,0,0
4/13/2016 13:12,216,0,93,0,0,0,0,0,0,2016,Online,7075.283333,0,0,0,0
4/13/2016 13:17,216,0,91,0,0,0,0,0,0,2016,Online,7080.283333,0,0,0,0
4/13/2016 13:22,216,0,93,0,0,0,0,0,0,2016,Online,7085.266667,0,0,0,0
4/13/2016 13:27,216,0,93,0,0,0,0,0,0,2016,Online,7090.25,0,0,0,0
4/13/2016 13:32,216,0,93,0,0,0,0,0,0,2016,Online,7095.266667,0,0,0,0
4/13/2016 13:37,216,0,91,0,0,0,0,0,0,2016,Online,7100.25,0,0,0,0
4/13/2016 13:42,216,0,91,0,0,0,0,0,0,2016,Online,7105.233333,0,0,0,0
4/13/2016 13:47,216,0,93,0,0,0,0,0,0,2016,Online,7110.233333,0,0,0,0
4/13/2016 13:52,216,0,93,0,0,0,0,0,0,2016,Online,7115.216667,0,0,0,0
4/13/2016 13:57,216,0,93,0,0,0,0,0,0,2016,Online,7120.216667,0,0,0,0
4/13/2016 14:02,216,0,93,0,0,0,0,0,0,2016,Online,7125.216667,0,0,0,0
4/13/2016 14:07,216,0,93,0,0,0,0,0,0,2016,Online,7130.2,0,0,0,0
